Category1,Category2,Category3,Category4,Category5,category_id,Item,Licensing,Website,Platform,Description
Frameworks / Specifications,Web Application development,,,,851,JSF,Open Source,http://www.oracle.com/technetwork/java/javaee/javaserverfaces-139869.html,,"JavaServer Faces (JSF) is a Java specification for building component-based user interfaces for web applications. It was formalized as a standard through the Java Community Process and is part of the Java Platform, Enterprise Edition."
Frameworks / Specifications,Web Application development,,,,850,AppFuse,Open Source,http://appfuse.org/,,"AppFuse is a full-stack framework for building web applications on the JVM. It was originally developed to eliminate the ramp-up time found when building new web applications for customers. Over the years, it has matured into a very testable and secure system for creating Java-based webapps. At its core, AppFuse is a project skeleton, similar to the one that's created by your IDE when you click through a wizard to create a new web project."
Frameworks / Specifications,Web Application development,,,,850,Spring Roo,Open Source,http://projects.spring.io/spring-roo/,,"Spring Roo is an open source software tool that uses convention-over-configuration principles to provide rapid application development of Java-based enterprise software.[1] The resulting applications use common Java technologies such as Spring Framework, Java Persistence API, Java Server Pages, Apache Maven and AspectJ.[2] Spring Roo is a member of the Spring portfolio of projects"
Frameworks / Specifications,Web Application development,,,,850,Google Guice,Open Source,https://github.com/google/guice,,"Google Guice (pronounced ""juice"")[1] is an open source software framework for the Java platform released by Google under the Apache License. It provides support for dependency injection using annotations to configure Java objects.[2] Dependency injection is a design pattern whose core principle is to separate behavior from dependency resolution."
Frameworks / Specifications,Web Application development,,,,850,Struts,Open Source,https://struts.apache.org/,,"Apache Struts is a free, open-source, MVC framework for creating elegant, modern Java web applications. It favors convention over configuration, is extensible using a plugin architecture, and ships with plugins to support REST, AJAX and JSON."
Frameworks / Specifications,Web Application development,,,,850,Springs,Open Source,https://spring.io/,,"Spring helps development teams everywhere build simple, portable,  fast and flexible JVM-based systems and applications."
Frameworks / Specifications,Web Application development,,,,850,Spring Web Flow,Open Source,http://projects.spring.io/spring-webflow/,,Spring Web Flow (SWF) is the sub-project of the Spring Framework that focuses on providing the infrastructure for building and running rich web applications. The project tries to solve 3 core problems facing web application developers:
Frameworks / Specifications,Web Application development,,,,850,Apache Sling,Open Source,https://sling.apache.org/,,"Apache Sling is a web framework that uses a Java Content Repository, such as Apache Jackrabbit, to store and manage content.

Sling applications use either scripts or Java servlets, selected based on simple name conventions, to process HTTP requests in a RESTful way.

The embedded Apache Felix OSGi framework and console provide a dynamic runtime environment, where code and content bundles can be loaded, unloaded and reconfigured at runtime.

As the first web framework dedicated to JSR-170 Java Content Repositories, Sling makes it very simple to implement simple applications, while providing an enterprise-level framework for more complex applications."
Frameworks / Specifications,Web Application development,,,,850,Spago,Open Source,http://www.spagoworld.org/xwiki/bin/view/Spago/JavaFramework,,"A Java Enterprise Framework is a reusable, semi-complete infrastructure that can produce customized applications. It is a platform for developing distributed multi-tier applications, based on modular components, employing several technologies, including JDBC and CORBA, and extending their functionality with Enterprise Java Beans, Java Servlets, Java Server Pages and XML technologies. This allows the developer to create an Enterprise Application that is scalable, portable between platforms and that can be integrated with several legacy technologies."
Frameworks / Specifications,Web Application development,,,,850,Adobe Flex,Open Source,http://www.adobe.com/in/products/flex.html,,"Flex is a highly productive, open source application framework for building and maintaining expressive web applications that deploy consistently on all major browsers, desktops, and devices. It provides a modern, standards-based language and programming model that supports common design patterns suitable for developers from many backgrounds"
Frameworks / Specifications,Web Application development,,,,850,Vaading,Open Source,http://vaadin.com,,"Vaadin is an open source Web application framework for rich Internet applications. In contrast to JavaScript libraries and browser-plugin based solutions, it features a server-side architecture, which means that the majority of the logic runs on the servers. Ajax technology is used at the browser-side to ensure a rich and interactive user experience. On the client-side Vaadin is built on top of and can be extended with Google Web Toolkit."
Frameworks / Specifications,Web Application development,,,,850,Java Swing,open Source,http://www.javatpoint.com/java-swing,,Swing is a GUI widget toolkit for Java. It is part of Oracle's Java Foundation Classes (JFC) — an API for providing a graphical user interface (GUI) for Java programs.
Frameworks / Specifications,Web Application development,,,,850,Jboss Seam,open Source,http://www.seamframework.org/,,"Seam is a web application framework developed by JBoss, a division of Red Hat"
Frameworks / Specifications,Web Application development,,,,850,Java FX,open Source,http://docs.oracle.com/javase/8/javase-clienttechnologies.htm,,"JavaFX is a set of graphics and media packages that enables developers to design, create, test, debug, and deploy rich client applications that operate consistently across diverse platforms"
Frameworks / Specifications,Web Application development,,,,850,Tapestry,open Source,http://tapestry.apache.org/,,"Apache Tapestry is an open-source component-oriented Java web application framework conceptually similar to JavaServer Faces and Apache Wicket.[1] Tapestry was created by Howard Lewis Ship, and was adopted by the Apache Software Foundation as a top-level project in 2006"
Frameworks / Specifications,Web Application development,,,,850,Apache Wicket,Open Source,https://wicket.apache.org/,,"With proper mark-up/logic separation, a POJO data model, and a refreshing lack of XML, Apache Wicket makes developing web-apps simple and enjoyable again. Swap the boilerplate, complex debugging and brittle code for powerful, reusable components written with plain Java and HTML."
Frameworks / Specifications,Web Application development,JSF,,,852,JSF,Open Source,http://www.oracle.com/technetwork/java/javaee/javaserverfaces-139869.html,,"JavaServer Faces (JSF) is a Java specification for building component-based user interfaces for web applications. It was formalized as a standard through the Java Community Process and is part of the Java Platform, Enterprise Edition."
Frameworks / Specifications,Web Application development,JSF,Component Library,,853,Rich Faces,Open Source,http://richfaces.jboss.org/,,The RichFaces project is an advanced UI component framework for easily integrating Ajax capabilities into business applications using JSF.
Frameworks / Specifications,Web Application development,JSF,Component Library,,853,ICE Faces,Open Source,http://www.icesoft.org/,,"CEfaces is an open source Software development kit that extends JavaServer Faces (JSF) by employing Ajax. It is used to construct rich Internet applications (RIA) using the Java programming language. With ICEfaces, the coding for interaction and Ajax on the client side is programmed in Java, rather than in JavaScript, or with plug-ins."
Frameworks / Specifications,Web Application development,JSF,Component Library,,853,Facelets,Open Source,http://facelets.java.net/,,"Facelets is an open source Web template system under the Apache license and the default view handler technology (aka view declaration language) for JavaServer Faces (JSF). The language requires valid input XML documents to work. Facelets supports all of the JSF UI components and focuses completely on building the JSF component tree, reflecting the view for a JSF application."
Frameworks / Specifications,Web Application development,Swing,,,855,Swing,Open Source,,,
Frameworks / Specifications,Web Application development,Swing,Component Library,,856,Jgoodies,Open Source,http://www.jgoodies.com/,,"JGoodies offers freeware, products, and services for Java desktop developers. We focus on Java user interface design and its implementation in Swing and now JavaFX. We provide training, consulting, libraries, example applications, desktop patterns, design templates, an application architecture, and a production process – all intended to help you work with Java desktop effectively and efficiently."
Frameworks / Specifications,Web Application development,Swing,Component Library,,856,JIDE,Open Source,http://www.jidesoft.com/,,"JIDE Software is a professional Java UI component provider using technologies such as Swing, JavaFX and Javascript/HTML5. JIDE Software's products focused on rich-client applications for software developers. Based on Java UI technology, JIDE Software's products allow for the maximum compatibility with industry standards and can run on any Java enabled platforms."
Frameworks / Specifications,Web Application development,Object Relational Mapping,,,854,Hibernate,Open Source,http://hibernate.org/,,"Hibernate ORM (Hibernate in short) is an object-relational mapping framework for the Java language, providing a framework for mapping an object-oriented domain model to a traditional relational database. Hibernate solves object-relational impedance mismatch problems by replacing direct persistence-related database accesses with high-level object handling functions."
Frameworks / Specifications,Application Deployment,,,,410,OSGI,Open Source,http://www.osgi.org/Main/HomePage,,"The OSGi (Open Service Gateway initiative) specification describes a modular system and a service platform for the Java programming language that implements a complete and dynamic component model, something that does not exist in standalone Java/VM environments"
Frameworks / Specifications,Application Deployment,,,,410,TOGAF,Open Source,http://www.togaf.info/,,"The Open Group Architecture Framework (TOGAF) is a framework for enterprise architecture that provides an approach for designing, planning, implementing, and governing an enterprise information technology architecture.[2] TOGAF has been a registered trademark of The Open Group in the United States and other countries since 2011.[3]"
